src,trg,Baseline,Fine-tuned,trg_swapped,Token Swap,TS Fine-tuned,Baseline_BLEURT,Fine-tuned_BLEURT,Token Swap_BLEURT,TS Fine-tuned_BLEURT
"But once my mind was finally made up, I still could not leave.",但當我下定決心，我都係離開唔到。,"But when I decided, I couldn't leave.","But when I made my decision, I couldn't leave.",但当我下定决心，我也是离开不到。,"But when I decided, I couldn't leave.","But when I made my decision, I couldn't leave.",0.6291164755821228,0.6779113411903381,0.6291164755821228,0.6779113411903381
"Careful snow evaluation, cautious route-finding, and conservative decision-making are essential.",要小心評估雪地嘅狀況，謹慎咁選擇路線同埋保守咁做決定係至關重要。,"Careful assessment of the snow conditions, careful route selection and conservative decision-making are essential.","It is important to carefully assess the conditions of the snow, to choose routes carefully, and to make conservative decisions.",要小心评估雪地的狀況，謹慎咁选择路线和埋保守咁做决定是至关重要。,"Careful assessment of the snow conditions, careful route selection and conservative decision-making are essential.","It is important to carefully assess the conditions of the snow, to choose routes carefully, and to make decisions conservatively.",0.8061767220497131,0.735598087310791,0.8061767220497131,0.7383873462677002
"Common side effects of Flecainide include headaches, dizziness, upset stomach, and feeling tired or weak.",氟卡尼嘅常見副作用包括頭痛、頭暈、胃部不適同埋覺得疲倦或者虛弱。,"Common side effects of fluoxetine include headache, dizziness, stomach upset, and feeling tired or weak.","Common side effects of fluoxetine include headache, dizziness, upset stomach, and feeling tired or weak.",氟卡尼的常见副作用包括头痛、头暈、胃部不適和埋覺行疲倦或者虛弱。,"Common side effects of fluoxetine include headache, vertigo, stomach upset, and feeling tired or weak.","Common side effects of fluoxetine include headache, dizziness, stomach upset, and feeling tired or weak.",0.8205723166465759,0.827379047870636,0.8150480389595032,0.8205723166465759
Connected couples grow closer through having shared and separate interests.,有共同同埋獨立嘅興趣會令伴侶越嚟越親密。,Having both common and independent interests will make the couple closer.,Having shared and independent interests can help to bring the couple closer together.,有共和和埋独立的兴趣会令伴侶越嚟越親密。,The interest in republic and independence will make the couple more intimate.,The interest in republic and independence can lead to a growing intimacy between the couple.,0.7093740105628967,0.7429388165473938,0.433155357837677,0.42124998569488525
Davis wasn’t a passive observer who merely said goodbye to a dying relative;,戴維斯唔係一個只係想同彌留嘅親人道別嘅被動旁觀者；,Davis was not a passive bystander who just wanted to be with his loved ones ;,Davis is not a passive bystander who simply wants to maintain a bond with his loved ones;,戴維斯不是一那个只是想和彌留的親人道別的被動旁觀者；,Davis was not a passive bystander who wanted to be with his friends;,Davis was not a passive bystander who simply wanted to make peace with his loved ones;,0.5420135855674744,0.5508471131324768,0.45006728172302246,0.6021973490715027
"Divide the sliced steak, roasted potato, and cooked snap peas between two plates.",將啲切開咗一片片嘅牛扒、烤薯仔同煮熟咗嘅豌豆平均分去兩隻碟度。,"Divide the cut steak, baked potatoes and cooked peas into two equal plates.","Divide the sliced steak, roasted fries, and cooked peas evenly between two plates.",將啲切開咗一片片的牛扒、烤土豆和煮熟咗的豌豆平均分去兩隻碟度。,"Divide the cut steak, roasted potatoes and cooked peas into two equal plates.","Divide the sliced steak, roasted potatoes, and cooked peas evenly between two plates.",0.73827064037323,0.7288624048233032,0.7594539523124695,0.792194128036499
"Even if a review gave the film a poor score, most praise the opening chase sequence.",即使有個別評論俾呢部戲低分，大部份都讚賞佢開場嘅追逐戲。,"Although the film received mixed reviews, most critics praised its opening scene.","While some critics gave the film a low score, most praised its chase-and-find opening.",即使有那个別评论俾呢部戲低分，大部份都讚賞他開場的追逐戲。,"Although the film received mixed reviews, most critics praised the performance of the cast.","Even the one critic who gave the film a low score, most praised its opening chase.",0.7454436421394348,0.7037790417671204,0.584606945514679,0.725350558757782
"February 7, 2020 Chicago couple who tested positive for virus released from hospital;",2020年2月7號，芝加哥一對確診病毒嘅夫婦已經出院；,"On February 7, 2020, a couple in Chicago who were diagnosed with the virus were discharged from hospital;","On February 7, 2020, a couple in Chicago who had been diagnosed with the virus were discharged from hospital;",2020年2月7號，芝加哥一对確診病毒的夫婦已经出院；,"On February 7, 2020, a couple in Chicago who were diagnosed with the virus were discharged from hospital;","On February 7, 2020, a couple from Chicago who had been diagnosed with the virus were discharged from hospital;",0.7380346059799194,0.7324766516685486,0.7380346059799194,0.7372293472290039
"Fly balls flew by as I landed on my face, spit weed stalks and hoped to disappear in humiliation.",正當我面朝地咁仆低，𦧲返啲草根出嚟嘅時候，個波就喺我身邊飛過，而我真係尷尬到想咁就咁消失。,"When I fell down on my face and the grass came up, a wave flew by me, and I was so embarrassed that I thought I would disappear.","As I lay face down, squeeze out of the grass roots, the bird flies past me, and I'm so embarrassed that I just want to disappear.",正当我脸朝地咁仆低，𦧲返啲草根出嚟的時候，那个波就在我身边飞過，而我真的尴尬到想咁就咁消失。,"When I fell down on my face and came out of the grass, the wave flew past me, and I was so embarrassed that I thought I would disappear.","As I lay face down, squeeze out of the grass, the bird flies past me, and I'm so embarrassed that I just want to disappear.",0.5033404231071472,0.4637014865875244,0.5023496150970459,0.4737124443054199
For example monday tuesday wednesday thursday friday saturday sunday activity.,例如星期一、星期二、星期三、星期四、星期五、星期六、星期日嘅活動。,"For example, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, and Sunday.","For example, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday events.",例如星期一、星期二、周三、星期四、星期五、星期六、周日的活动。,"For example, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday events.","For example, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday events.",0.7024639248847961,0.7507531046867371,0.7507531046867371,0.7507531046867371
From 10 feet away you could tell the bottom of the boat was in rough shape;,距離10呎遠都睇得出船底嘅情況好差；,It was very bad from 10 feet away.,The bottom of the boat was visible from a distance of 10 feet and was in a poor condition;,距离10呎远都看行出船底的情况好差；,The bottom was in poor condition and visible from a distance of 10 feet;,"The bottom of the boat was in poor condition, visible from 10 feet away;",0.4516943097114563,0.7659559845924377,0.6979277729988098,0.7754542231559753
"From the smallest to the greatest decisions, choices, and actions.",由最細到最大嘅決定、選擇同行動。,"Decisions, choices and actions from the smallest to the largest.","From the smallest to the largest decisions, choices, and actions.",由最小到最大的决定、选择和走動。,"Decisions, choices and movements from the smallest to the largest.","From the smallest to the largest decisions, choices, and movements.",0.7891321778297424,0.899843156337738,0.7710357904434204,0.8328626751899719
Gandhi also believed rural economy based mass movement follow non-violent methods.,甘地亦都相信基於農村經濟嘅大型運動應該要採用非暴力方法。,Gandhi also believed that large-scale movements based on rural economies should adopt nonviolent methods.,Gandhi also believed that large-scale movements based on rural economies should be conducted using nonviolent methods.,甘地亦都相信基于農村经济的大型运动应该要採用非暴力方法。,Gandhi also believed that large movements based on rural economies should adopt nonviolent methods.,Gandhi also believed that large movements based on rural economies should be conducted using nonviolent methods.,0.7950401306152344,0.7804462313652039,0.7832364439964294,0.7715835571289062
"Happy Easter kindergarten decoration concept - rabbit, chicken, egg, bee made from toilet paper roll tube.",開心復活節幼稚園裝飾概念 - 用廁紙筒整兔仔、雞仔、蛋、蜜蜂。,"Happy Easter kindergarten decoration concept - Bunny, chicken, egg, bee with toilet paper drum.","Happy Easter kindergarten decoration concept - Bunny, rooster, egg, bee with toilet paper bag.",开心復活節幼稚園裝飾概念 - 用廁纸筒整兔仔、鸡仔、蛋、蜜蜂。,"Happy Easter kindergarten decoration concept - Bunny, chicken, egg, bee with toilet paper.","Happy Easter kindergarten decoration concept - Bunny, chicken, egg, bee with toilet paper bag.",0.7163451910018921,0.6572172045707703,0.6580133438110352,0.7059386372566223
"Hey guys, sorry for not writing the report, I didn't get home until now after the practice.",喂各位，對唔住無寫到個報告，我一直練習到依家先返到屋企。,"I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry,","Hey guys, I'm sorry I can't write this report, I'm just working on it until I get home.",嘿各位，对不起無写到那个报告，我一直练习到依家先返到家。,"Hey, guys, I'm sorry I didn't write that report, I've been practicing until I get home.","Hey guys, sorry for not writing that report, I've been practicing until I get home.",0.4221240282058716,0.6013954877853394,0.6484264135360718,0.645263671875
"However, despite these factors, there was never any regret or desire to quit.",不過，即使有呢啲因素，都從來無後悔過或者想放棄。,"However, even with these factors, he never regretted or wanted to give up.","However, even with these factors, he never regretted or wanted to give up.",不过，即使有这些因素，都从來無后悔過或者想放棄。,"Even with these factors, however, he never regretted or wanted to give up.","However, even with these factors, he never regretted or wanted to give up.",0.7380332946777344,0.7380332946777344,0.7367630004882812,0.7380332946777344
"If you have adequate counter space in your bathroom, then never hesitate to have a cabinet vanity.",如果你嘅浴室洗手台有足夠嘅位置，咁就唔好猶疑一定要整個梳妝櫃。,"If your bathroom sink has enough space, you shouldn't hesitate to have a full wardrobe.","If your bathroom has ample space for a sink, then don't hesitate to get a full vanity unit.",如果你的浴室洗手台有足够的位置，咁就不好犹疑一定要整那个梳妝櫃。,"If you have enough room for a sink in your bathroom, you shouldn't hesitate to have that whole dressing cabinet.","If you have enough space for a sink in your bathroom, then don't hesitate to get that vanity unit.",0.5339622497558594,0.6196601390838623,0.6011577844619751,0.645351231098175
"In general, it is important to expose an injury at the skin layer to understand the exact scope and extent of the wound.",一般嚟講，揭開傷口暴露皮膚層出嚟係重要嘅，咁樣先可以了解傷口具體嘅範圍同程度。,"In general, it is important to expose the skin layers of the wound to understand the specific extent and extent of the wound.","In general, it is important to expose the wound to the skin to understand the specific extent and size of the wound.",一般嚟说，揭開伤口暴露皮肤層出嚟是重要的，咁樣先可以了解伤口具體的范围和程度。,"In general, it is important to expose the skin layers of the wound to understand the specific extent and magnitude of the wound.","In general, it is important to expose the wound to the outside skin layer to understand the specific extent and severity of the injury.",0.7369410991668701,0.8101913332939148,0.7962957620620728,0.8244770169258118
"In the wake of bird flu alerts across the country, none of the residents ventured near the spot to even verify what locals said.",喺全國發佈禽流感警報之後，冇一個居民夠膽行近嗰個度去確認啲本地人係咪講真。,"After the avian influenza warning was issued nationwide, no resident was brave enough to come close enough to confirm the locals' claims.","After the avian flu alert was issued across the country, no residents were brave enough to walk near to the site to confirm the locals were telling the truth.",在全國發佈禽流感警報之后，没有一那个居民夠膽走近那个度去确认啲本地人是咪说真。,"After the national avian influenza alert, no residents were brave enough to come close enough to confirm the locals' claims.","After the avian flu alert was issued across the country, no residents were brave enough to approach the site to confirm the locals were telling the truth.",0.7072476148605347,0.726528525352478,0.6774781346321106,0.7292554378509521
"Incredible detail, fantastic expression, and creative execution combine to form exhibit-worthy creations.",精妙嘅細節，出色嘅表達同創意嘅呈現結合埋一齊，就形成值得展出嘅作品。,"Fine detail, excellent expression and creative presentation combined to create a work worthy of being exhibited.","The combination of subtle detail, excellent expression, and creative presentation creates a work that is worth showing.",精妙的小節，出色的表達和創意的呈現結合埋一齊，就形成值得展出的作品。,"Finely crafted pieces, excellent expression and creative presentation combined together, form a work worthy of exhibition.","The combination of subtle detail, excellent expression, and creative presentation creates a work that is worth showing.",0.7867624163627625,0.7559722065925598,0.7680525183677673,0.7559722065925598
"It has operations in southern, central, and northern Louisiana.",佢喺路易斯安那州嘅南部、中部同北部都有業務運作。,"It operates in southern, central and northern Louisiana.","It operates in southern, central, and northern Louisiana.",他在路易斯安那州的南部、中部和北部都有業務運作。,"He operated in southern, central, and northern Louisiana.","He operates in southern, central, and northern Louisiana.",0.8618575930595398,0.883827269077301,0.6940343976020813,0.6809818148612976
"It includes a legend of a devil beast, a century-old family curse.",佢包括咗一個傳說中嘅魔鬼猛獸，一個上百年嘅家族詛咒。,"It includes a legendary demon beast, a family curse that has lasted for hundreds of years.","It includes a legendary demon beast, a family curse that has been around for centuries.",他包括咗一那个傳說中的魔鬼猛獸，一那个上百年的家族诅咒。,He is the one who has been the master of the witchcraft for centuries.,"He includes the legendary demon beast, and the family curse of centuries.",0.756357729434967,0.7647623419761658,0.3766149878501892,0.5646169781684875
It should make the chart a bit easier to interpret at a glance.,應該整到張圖更加容易一睇就明。,It is easier to see the whole picture.,It should be adjusted to make it more readable.,应该整到張图更加容易一看就明。,It should be easy to see the whole picture.,It should be made more visible and clear.,0.5910454988479614,0.6175644397735596,0.6425669193267822,0.5845978856086731
It won’t do to have the fox steal a goose and a duck and celebrate the feast.,你搵隻狐狸去偷隻鵝同鴨再整大餐慶祝係行唔通㗎。,You can't find a fox to steal a goose and a duck and then celebrate with a big meal.,You can't go after a fox and steal a goose and duck and then have a big dinner and celebrate.,你寻找隻狐狸去偷隻鹅和鸭再整大餐庆祝是走不通㗎。,You're not going to find a fox to steal a goose and a duck and celebrate a whole meal.,You're not going to find a fox who can steal a goose and duck for a big dinner celebration.,0.5831577181816101,0.5926728844642639,0.536327064037323,0.5794270634651184
Its designation as a competitive organization means that it faces a lot of competition.,佢被定位為一個競爭性組織，意味住佢面對住好多競爭。,"It is a competitive organization, meaning it faces a lot of competition.","It is positioned as a competitive organization, which means that it faces a lot of competition.",他被定位为一那个竞争性组织，意味居住他脸对居住好多竞争。,"He was positioned as one of the competitive organizations, meaning that living there meant facing a lot of competition.","He was positioned as one of the most competitive organizations, which meant he faced a lot of competition.",0.8325445055961609,0.8391404747962952,0.6344483494758606,0.6457709074020386
"Jenna also helped me right before walking down the aisle, when I had a little mini freak out.",珍娜喺我結婚行禮前都有幫我，當時我有少少緊張。,I was a little nervous when Jenna helped me before my wedding.,"Jenna also helped me with my wedding ceremony, when I was a little nervous.",珍娜在我結婚走禮前都有帮助我，当時我有一点点紧张。,"Jenna helped me before my wedding ceremony, when I was a little nervous.","Jenna helped me out before my wedding ceremony, when I was a little nervous.",0.5353595614433289,0.5951671004295349,0.6110122799873352,0.6369121074676514
"Jesus is our heaven-sent, born-in-a-stable prophet, priest, and king.",耶穌係我哋從天而降、喺馬槽中出世嘅先知、祭司同埋王。,"Jesus is our prophet, priest and king, who came down from heaven, born in the fold of the horses.","Jesus is our prophet, priest, and king who came down from heaven and came into the world from the flock of horses.",耶穌是我哋从天空而降、在马槽中出生的先知、祭司和埋王。,"Jesus is the prophet, priest and king who came down from heaven, born in a manger.","Jesus is our prophet, priest, and king who came down from heaven, born in a manger.",0.5775949358940125,0.5401254296302795,0.6328635215759277,0.6381875276565552
Khan Academy recently introduced guided meditation practices.,Khan學院最近引入咗導向式冥想練習。,Khan Academy has recently introduced guided meditation practices.,Khan Academy has recently introduced guided meditation practices.,Khan学院最近引入咗導向式冥想练习。,Khan Academy has recently introduced guided meditation practices.,Khan Academy has recently introduced guided meditation practices.,0.8883256316184998,0.8883256316184998,0.8883256316184998,0.8883256316184998
Latest Snapchat caption maker to imitate fake snaps of celebrities and prank your friends.,最新嘅Snapchat字幕製造器，可以模仿名人嘅假快拍嚟整蠱你嘅朋友。,"The latest Snapchat caption maker, which can imitate celebrity captions, is available for all your friends.",The latest Snapchat caption maker that will emulate celebrity snaps to make your friends smile.,最新的Snapchat字幕制造器，可以模仿名人的假快拍嚟恶作剧你的朋友。,"The latest Snapchat caption maker, can imitate celebrity fake snaps to make fun of your friends.",The latest Snapchat caption maker that can mimic celebrity fake snaps to mock your friends.,0.6236044764518738,0.6778979897499084,0.7705004215240479,0.7687336206436157
Make the best of it before we depart for the airport in the early afternoon and bid farewell to Mauritius.,我地午後就起程去機場同毛里求斯道別㗎喇，之前要好好善用啲時間。,"We left in the afternoon to the airport and to Mauritius, so we had to spend some time beforehand.","We left in the afternoon to the airport to say goodbye to Mauritius, and we had to make the most of our time.",我地午後就起程去機場和毛里求斯道別㗎喇，之前要好好善用啲时间。,"We left in the afternoon to the airport and Mauritius, and we had to spend some time before we could go.",We left in the afternoon to make sure we had enough time before heading to the airport and saying goodbye to Mauritius.,0.5686903595924377,0.6698333024978638,0.56534743309021,0.6810186505317688
"Mike is also a licensed youth soccer coach, former child actor and enthusiastic musical theater participant.",米克亦係一位持牌嘅青年足球教練，曾經做過童星同埋熱衷於演出音樂劇。,"Mike is also a licensed youth football coach, a former child star and a passionate performer of musicals.","Mike is also a licensed youth soccer coach, a former child star, and a passionate performer of musicals.",米克亦是一位持牌的青年足球教练，曾经做過童星和埋热衷於演出音乐劇。,"Mick is also a licensed youth football coach, a former child star and a passionate performer of musicals.","Mike is also a licensed youth soccer coach, a former child star, and a passionate performer of musicals.",0.6905209422111511,0.7199179530143738,0.6523376107215881,0.7199179530143738
"No robot can express sincere empathy, sympathy, compassion, and confidence.",冇機械人可以表達到真摯嘅同理心、同情心、憐憫心同自信心。,"No robot can express genuine empathy, compassion, compassion and self-confidence.","No robot can show genuine sympathy, compassion, pity, or self-confidence.",没有機械人可以表达到真摯的和理心、和情心、怜悯心和自信心。,"No robot can express genuine and rational compassion, and emotional compassion, and self-confidence.","No robot can express a genuine sense of peace, affection, compassion, and self-confidence.",0.8077160716056824,0.8158014416694641,0.7285171151161194,0.7392913699150085
"Other cliff-hangers involve a dead body, a stealthy stranger, and mysterious noises in the night.",其他懸疑劇情涉及到一具屍體，一個鬼鬼崇崇嘅陌生人，同埋夜晚嘅神秘聲音。,"Other mystery plots involve a corpse, a ghost-worshipped stranger, and mysterious voices in the night.","Other thrillers involve a corpse, a stranger who is haunted by ghosts, and mysterious voices in the night.",其他懸疑劇情涉及到一具屍體，一那个鬼魂鬼魂崇崇的陌生人，和埋夜晚的神秘声音音。,"Other suspenseful plots involve a corpse, a stranger who is worshipped by ghosts, and mysterious sounds in the night.","Other thrilling plots involve a corpse, a stranger who is worshipped by a ghost, and mysterious sounds in the night.",0.6593746542930603,0.6615197062492371,0.6483070850372314,0.629073441028595
Our customer support staff is ready to handle your issue immediately.,我哋嘅客戶支援團隊隨時準備好處理你嘅問題。,Our customer support team is always ready to deal with your questions.,Our customer support team is always available to address your concerns.,我哋的客户支援团队隨時準備好处理你的问題。,Our customer support team is always ready to deal with your questions.,Our customer support team is always available to address your questions.,0.8154007792472839,0.8497318625450134,0.8154007792472839,0.8266791701316833
"Peace brings along its buddies joy, strength, hope, and faith.",和平會同時帶嚟喜悅、力量、希望同埋信念。,"Peace brings joy, strength, hope and faith at the same time.","Peace brings joy, strength, hope, and faith at the same time.",和平会和時帶嚟喜悅、力量、希望和埋信念。,"Peace will bring joy, strength, hope and faith.","Peace brings joy, strength, hope, and faith.",0.8369137644767761,0.8403700590133667,0.8202522397041321,0.8318715691566467
Performing minor diagnostic tests and procedures as directed by healthcare professionals.,喺專業醫護人員嘅指示下進行小型診斷測試同程序。,The procedure is performed under the supervision of a medical professional.,Perform small diagnostic tests and procedures under the direction of a professional healthcare provider.,在专业醫護人員的指示下進走小型診斷測試和程序。,"Under the direction of a professional health care provider, undergo small diagnostic tests and procedures.",Undergo minor diagnostic tests and procedures under the direction of a professional healthcare provider.,0.6316274404525757,0.7973663210868835,0.7543050646781921,0.7722602486610413
Ponder what scenarios might evolve that breach your ability to absorb negative impact or exploit risks.,諗下有咩情況出現會減低你承受負面影響或利用風險嘅能力。,What happens below reduces your ability to take on negative influences or take risks.,Think about what might happen that would reduce your ability to cope with negative effects or take risks.,想下有咩情况出现会減低你承受负脸影响或利用风險的能力。,Think about what would reduce your ability to take on negative impacts or risks.,Think about what might happen that would reduce your ability to take on negative impacts or to take risks.,0.6136026978492737,0.7704327702522278,0.6872307062149048,0.7523787617683411
Print the page that contains students' final questions and answers.,將有學生最後問題同答案果版印出嚟。,The students' final questions and answers will be printed.,Print out the final student question and answer.,將有学生最後问題和答案果版印出嚟。,The students' final questions and answers will be printed.,Print out the final question and answer sheet for each student.,0.7915422916412354,0.7413506507873535,0.7915422916412354,0.7520485520362854
"Provides samples of tumors, survival rates, and Medical care records.",提供腫瘤樣本、生存率同醫療記錄。,"The tumor sample, survival rate and medical record were provided.","Provide tumor samples, survival rates, and medical records.",提供腫瘤样本、生存率和醫療記錄。,"The tumor samples, survival rate and medical records are provided.","Provide tumor samples, survival rates, and medical records.",0.7208995223045349,0.8148711323738098,0.7584980130195618,0.8148711323738098
"Rita delighted in the fresh grapes, although she looked more like she had swallowed a watermelon.",維達對住啲新鮮提子好開心，不過佢睇落去更似吞咗個西瓜咁。,"He is happy to stay with the freshly-cuts, but he looks more like a watermelon when he falls.","Vida was happy with the fresh fruit, but she looked more like she had swallowed the watermelon.",維達对居住啲新鲜提子好开心，不过他看下去更像吞咗那个西瓜咁。,"He is happy to live with the fresh watermelon, but he looks more like he swallowed the watermelon.","Vida was happy to live with the fresh ones, but he looked more like he had swallowed the watermelon.",0.3458995819091797,0.6905958652496338,0.43064063787460327,0.509802520275116
"Rohan was my sibling who always flew a kite at noon, even if it was cloudy.",羅漢係我兄弟，佢成日喺正午放風箏，就算天陰陰。,"The bridge is opened to the public at noon, and closed at midnight.","Rohan is my brother, and he always flies kites at noon, even in the dark.",羅漢是我兄弟，他成日在正午放风箏，就算天空陰陰。,"Rohan is my brother, and he flies kites at noon every day, even when the sky is dark.","Rohan is my brother, and he always flies kites at noon, even when the sky is shady.",0.3146696090698242,0.7571477293968201,0.7640239596366882,0.7595805525779724
"Seller will select method of shipment, unless Customer gives timely, prior written instructions.",賣家會選擇個運送方式，除非客戶及時提前俾到書面形式嘅指示。,The seller will choose a method of delivery unless the customer gives written instructions in advance.,The seller will choose the method of delivery unless the customer gives written instructions in advance.,賣家会选择那个運送方式，除非客户及时提前俾到书脸形式的指示。,The seller will choose that mode of delivery unless the customer gives in advance instructions in paper form.,The seller will choose the delivery method unless the customer gives written instructions in advance.,0.7793001532554626,0.77504962682724,0.7310912013053894,0.7816426157951355
